hello
Results for create_user():
	Mean: 80.2738
	Standard Deviation: 8.161402723150044
	Variance: 66.60849440944095
	Coefficient of Variation: 0.10166956993626868

Results for follow():
	Mean: 78.7218
	Standard Deviation: 6.389779940558898
	Variance: 40.82928768876888
	Coefficient of Variation: 0.08116912901583676

Results for post_tweet():
	Mean: 911.0678
	Standard Deviation: 99.5066337495949
	Variance: 9901.570160176017
	Coefficient of Variation: 0.10921978995371683

Results for unfollow():
	Mean: 78.6597
	Standard Deviation: 6.071291622727146
	Variance: 36.86058196819682
	Coefficient of Variation: 0.07718427126885999

Results for delete_user():
	Mean: 105.2009
	Standard Deviation: 33.51330263246721
	Variance: 1123.1414533353336
	Coefficient of Variation: 0.3185647901535748

create_user	follow	post_tweet	unfollow	delete_user
75	79	1033	78	112
75	79	863	79	113
75	77	861	78	110
74	89	981	79	117
74	79	878	79	112
81	80	859	85	112
76	80	858	81	108
75	80	902	80	103
75	72	910	80	106
74	76	898	78	115
75	81	889	80	104
75	86	914	79	107
74	79	916	85	109
75	79	894	79	121
75	79	900	79	114
74	80	956	99	113
82	70	906	79	109
75	78	964	80	112
75	80	946	79	107
76	71	955	86	113
204	72	947	78	115
88	76	953	78	112
75	77	941	75	106
75	77	1077	79	105
75	72	941	89	104
75	80	942	78	103
77	80	932	86	113
76	81	945	79	113
74	77	950	80	107
75	79	939	79	107
75	81	909	80	113
75	77	919	79	104
75	78	919	79	115
81	75	922	85	111
75	80	896	79	104
75	81	987	79	108
81	75	911	79	121
75	71	896	79	114
74	73	900	74	110
74	76	922	78	103
74	79	907	84	109
75	76	897	79	112
74	86	897	73	105
74	89	1047	79	106
75	80	914	80	119
74	81	895	74	110
74	81	892	79	110
75	81	934	86	113
81	73	907	73	111
75	81	901	78	105
74	78	894	79	105
75	80	928	73	111
75	79	913	84	113
85	78	900	79	109
75	79	911	86	113
82	83	1031	78	118
75	79	915	79	110
75	79	915	78	113
75	72	897	73	112
75	79	911	78	106
75	88	906	79	114
75	79	911	84	110
75	85	940	79	113
76	80	1053	79	112
75	79	909	78	111
75	81	897	78	112
76	77	903	79	105
75	80	901	79	117
75	77	912	84	111
75	86	901	78	111
82	81	878	79	114
76	80	924	79	109
75	71	895	77	112
75	82	883	79	113
75	79	883	79	104
74	80	952	80	107
75	84	918	80	110
80	79	890	79	112
75	80	902	79	167
74	79	899	79	112
75	70	896	87	111
74	79	899	79	112
82	79	921	85	115
76	78	1030	79	113
74	73	907	78	112
75	77	900	78	112
75	77	903	76	108
74	77	926	79	104
74	82	900	78	104
74	81	912	79	146
75	87	917	79	107
75	80	922	78	112
80	76	897	78	107
76	79	957	79	108
75	79	931	79	113
74	78	973	78	135
75	75	927	78	107
75	82	918	80	110
74	80	899	78	105
79	79	945	78	107
74	76	892	78	126
74	71	899	79	113
74	74	897	74	105
73	86	1059	78	104
74	92	895	79	116
74	72	896	78	114
73	81	898	74	110
75	80	903	86	103
74	81	905	79	109
74	80	912	75	107
74	81	896	79	106
74	87	924	80	108
83	70	892	72	114
75	79	906	77	100
80	77	891	79	101
74	79	991	73	108
74	91	893	74	109
75	78	921	80	105
76	87	898	80	115
84	76	914	78	109
83	79	914	77	105
88	78	907	78	108
82	72	936	73	108
83	80	1032	78	102
82	80	888	78	114
82	86	908	79	101
78	78	906	80	109
77	80	899	79	109
85	80	890	78	122
78	81	954	78	109
78	78	905	78	101
79	80	920	78	105
77	82	897	79	107
78	79	908	79	107
79	79	895	79	104
79	85	974	79	100
78	71	885	78	102
77	98	899	85	108
86	82	898	78	99
78	116	924	80	102
78	79	897	80	105
79	80	899	79	108
78	80	898	79	109
78	80	1019	79	107
78	81	922	79	104
84	80	907	79	107
78	95	899	80	103
78	72	902	79	109
77	72	905	79	105
77	78	913	77	107
79	86	898	74	103
78	77	928	79	100
77	71	893	79	110
78	79	903	78	101
78	79	911	79	103
78	80	991	78	108
79	76	899	79	102
84	79	916	78	103
79	80	905	79	108
78	77	923	78	100
78	77	897	84	104
77	77	923	79	105
78	80	901	78	99
77	87	1082	79	102
85	78	884	78	99
78	73	934	87	109
78	120	899	73	102
77	79	932	90	99
77	81	950	79	105
89	72	953	78	108
79	82	925	74	99
84	92	944	79	102
78	79	910	78	114
78	118	917	73	106
79	80	902	85	105
78	81	1105	79	108
77	71	899	73	117
77	79	948	77	101
82	79	895	79	101
77	79	924	72	108
78	89	900	73	108
78	79	914	84	106
79	81	883	78	108
79	79	1025	99	109
78	88	940	90	106
78	82	953	78	108
79	73	940	74	108
84	81	909	78	101
78	80	894	79	108
78	80	923	79	101
78	78	908	78	109
78	80	928	78	109
78	78	889	80	104
80	121	913	79	108
79	77	899	79	100
79	82	988	79	105
78	77	899	79	108
77	85	911	84	107
81	94	882	79	103
79	79	895	80	101
85	86	888	79	111
79	76	900	79	109
78	80	885	79	101
78	89	1045	80	101
78	81	886	79	104
77	82	904	78	108
78	82	902	80	108
116	81	895	79	109
79	72	897	78	106
78	80	909	80	108
78	80	901	78	103
78	73	926	79	109
78	71	893	78	104
78	114	895	78	113
83	76	900	74	101
79	77	989	79	98
78	72	898	79	100
78	80	912	78	99
78	81	928	79	102
84	80	962	78	108
78	115	943	79	103
89	80	931	80	102
78	80	942	84	107
79	79	1072	79	100
78	78	938	78	114
78	88	957	79	105
90	80	931	79	100
78	93	1020	78	102
83	83	900	79	99
79	73	943	84	108
78	73	931	74	99
94	78	961	79	99
78	79	938	79	105
78	70	948	79	107
78	80	929	74	99
105	82	984	98	102
78	79	900	86	108
78	79	915	74	104
78	80	903	79	106
79	79	914	79	108
78	72	894	73	104
77	79	908	79	100
119	78	888	78	100
78	81	1065	79	107
79	77	913	74	109
79	79	915	78	106
78	81	900	79	109
79	115	925	79	109
79	80	967	88	116
117	80	926	78	107
79	73	901	79	109
78	80	936	78	100
79	89	889	79	108
78	78	903	78	101
82	83	898	79	108
84	80	949	79	108
93	79	884	79	105
78	79	914	83	107
79	78	903	80	99
80	85	900	79	104
79	76	908	78	107
79	85	908	79	106
80	77	925	79	103
80	81	1032	79	100
79	73	881	84	100
78	78	904	78	107
78	81	889	80	100
79	81	898	79	103
79	86	905	78	105
79	81	908	79	108
80	80	905	78	108
77	81	935	84	107
79	71	891	78	108
78	78	899	80	113
79	78	912	79	103
79	78	976	79	114
79	70	894	102	105
80	76	906	78	108
79	77	925	80	102
79	75	950	79	105
79	80	902	80	100
78	78	973	78	99
81	86	926	79	102
105	88	1038	79	108
80	79	898	80	102
79	80	894	85	103
79	80	909	79	108
79	78	913	79	99
80	77	893	79	99
84	83	908	78	105
121	93	921	79	99
80	80	938	79	107
79	76	893	85	100
78	71	888	79	108
78	72	908	73	98
78	78	1010	79	98
78	85	898	79	108
120	71	902	79	113
78	80	941	74	100
78	80	912	85	102
78	79	900	78	107
79	80	891	74	105
80	80	906	78	138
77	88	1048	78	114
135	73	903	80	105
78	80	901	79	100
78	77	914	84	100
79	80	921	74	108
78	91	905	73	108
93	79	896	79	118
80	88	921	79	109
94	78	944	78	109
79	79	892	78	105
78	79	910	78	107
79	71	914	74	108
79	81	971	79	106
79	76	899	79	108
79	85	907	78	100
80	79	917	80	108
94	78	901	79	118
78	79	904	79	106
78	84	899	78	114
79	77	921	79	100
79	89	1015	78	105
106	83	899	79	106
79	80	893	79	107
79	77	897	80	104
79	80	947	80	106
79	72	955	79	100
78	78	900	78	108
79	81	904	79	99
117	86	913	79	102
79	78	893	79	105
78	79	889	80	114
80	79	968	80	109
79	80	968	79	108
91	81	898	79	106
79	80	913	79	109
118	85	923	79	103
84	71	925	79	128
83	70	892	79	106
82	76	892	78	109
82	78	915	75	103
82	77	1037	78	115
82	79	895	79	100
100	86	907	79	100
78	79	914	79	102
79	80	899	78	108
78	78	901	83	102
79	80	897	79	102
78	80	921	79	108
78	78	915	79	105
92	81	906	78	99
79	76	909	79	104
79	78	922	79	100
83	79	987	78	103
78	76	895	79	100
78	71	895	79	114
79	74	921	74	101
78	77	908	78	99
78	78	902	78	106
78	71	898	81	107
78	80	927	73	99
78	88	1042	79	109
81	89	905	78	108
78	80	892	73	105
78	85	924	79	105
78	81	911	79	117
77	73	896	73	105
77	80	899	79	106
78	78	890	86	101
78	80	940	72	107
78	75	899	73	108
79	82	894	79	107
79	80	897	78	108
