hello
Results for create_user():
	Mean: 71.4615
	Standard Deviation: 5.874910144582698
	Variance: 34.51456920692069
	Coefficient of Variation: 0.08221084282561515

Results for follow():
	Mean: 71.3516
	Standard Deviation: 5.532218179338047
	Variance: 30.605437983798378
	Coefficient of Variation: 0.07753460580194482

Results for post_tweet():
	Mean: 780.4039
	Standard Deviation: 87.99489118623585
	Variance: 7743.1008748774875
	Coefficient of Variation: 0.11275557590913608

Results for unfollow():
	Mean: 70.6124
	Standard Deviation: 5.5956677340366605
	Variance: 31.311497389738975
	Coefficient of Variation: 0.07924483141823052

Results for delete_user():
	Mean: 96.0533
	Standard Deviation: 6.627280829655517
	Variance: 43.92085119511951
	Coefficient of Variation: 0.06899586822790593

create_user	follow	post_tweet	unfollow	delete_user
72	69	756	69	94
71	69	787	69	94
76	69	760	75	99
69	71	890	69	107
71	69	772	69	93
71	75	771	69	94
71	70	768	68	93
69	69	775	69	94
69	72	754	69	95
78	69	766	68	95
78	71	769	69	95
72	72	922	69	93
70	71	771	80	93
69	71	759	70	94
72	70	765	70	100
72	70	777	69	94
77	71	804	71	93
68	70	834	76	94
69	78	803	69	93
72	70	854	69	94
82	71	806	69	93
73	68	821	68	94
69	69	794	68	93
69	71	874	68	99
72	70	797	69	94
78	69	754	70	94
72	70	764	69	95
69	75	781	68	103
68	70	766	69	94
71	69	771	69	94
76	71	754	68	94
72	71	922	68	94
115	71	763	76	94
74	71	781	69	100
72	70	773	69	94
71	71	790	69	95
71	71	782	69	98
69	80	774	69	94
69	73	770	68	94
95	71	796	68	94
72	69	770	70	95
72	69	768	70	94
68	75	767	78	93
69	70	859	70	94
72	69	770	70	94
72	69	756	70	93
71	71	773	69	101
69	69	790	107	94
69	69	759	69	103
81	70	765	68	96
73	72	764	70	95
72	71	929	69	94
70	70	772	69	100
68	71	766	69	94
98	71	767	74	93
72	70	776	70	94
78	71	872	69	94
69	76	836	69	94
69	78	806	69	93
69	70	779	69	95
71	69	764	69	94
126	69	828	68	94
69	69	804	74	93
69	71	835	70	94
69	69	770	69	93
71	69	766	70	102
71	71	782	69	94
69	79	776	69	94
92	70	766	69	94
69	70	771	69	93
71	72	780	70	101
72	71	933	69	93
69	71	766	79	95
69	70	763	70	94
68	70	768	70	98
72	70	788	69	96
73	70	772	69	95
69	70	780	71	95
69	71	768	68	96
77	76	787	69	94
72	69	775	69	94
72	70	770	68	93
69	69	775	69	93
75	71	826	69	94
69	70	785	74	100
72	70	780	69	95
71	70	770	69	94
69	70	773	69	93
68	70	755	69	94
69	70	786	69	95
71	70	766	68	94
77	74	924	69	95
68	70	769	77	93
69	71	767	69	94
68	76	778	70	94
71	70	762	69	94
72	70	775	68	94
69	74	773	69	100
68	77	771	70	95
69	71	792	69	104
72	70	757	69	96
72	76	772	69	95
76	70	769	83	94
69	72	853	71	101
69	69	770	70	100
71	69	766	69	95
77	71	779	69	94
69	69	778	80	94
70	70	768	69	94
71	70	777	69	95
72	70	764	69	96
72	71	923	69	94
69	71	791	69	95
70	71	765	69	94
70	70	770	69	94
72	70	763	70	95
72	77	781	69	100
69	70	789	69	94
71	71	765	70	94
69	70	789	69	94
71	70	764	69	94
89	69	775	69	94
68	69	773	76	100
69	75	840	69	95
69	70	767	69	94
71	69	762	68	110
79	85	771	69	95
69	70	790	69	95
129	70	761	69	100
69	69	760	69	94
72	70	760	70	94
72	81	942	68	94
69	70	770	80	94
68	70	798	70	95
68	70	759	70	94
